Timestamp,True_Lat,True_Lon,True_Alt,INS_Lat,INS_Lon,INS_Alt,GNSS_Lat,GNSS_Lon,GNSS_Alt,Weighted_Lat,Weighted_Lon,Weighted_Alt,PosBased_Lat,PosBased_Lon,PosBased_Alt,INS_Error,GNSS_Error,Weighted_Error,PosBased_Error,INS_Weight,GNSS_Weight,Route_Deviation,Distance_to_WP,Current_WP,Speed_KMH,GNSS_Available,HDOP,Satellites,Accel_X,Accel_Y,Accel_Z,AngVel_X,AngVel_Y,AngVel_Z,Is_Running
2025-01-14 08:07:05,55.75688217,37.61963423,218.07,55.75583025,37.61778198,218.18,55.75687750,37.61962572,218.05,55.75688760,37.61963423,218.18,55.75688331,37.61963423,218.18,0.508,0.745,0.616,0.173,0.594,0.406,21.89,316.78,1,54.02,1,1.214,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:06,55.75697675,37.61980101,218.41,55.75583026,37.61778211,219.14,55.75697209,37.61979278,218.40,55.75698230,37.61980101,219.14,55.75697795,37.61980101,219.14,0.535,0.732,0.957,0.743,0.578,0.422,21.11,301.94,1,54.01,1,1.458,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:07,55.75707133,37.61996779,218.70,55.75583028,37.61778224,219.13,55.75706641,37.61995884,218.68,55.75707729,37.61996779,219.13,55.75707262,37.61996779,219.13,0.575,0.783,0.792,0.455,0.577,0.423,20.26,287.11,1,54.01,1,2.279,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:08,55.75716590,37.62013458,218.93,55.75583029,37.61778238,219.22,55.75716002,37.62012443,218.92,55.75717250,37.62013458,219.22,55.75716728,37.62013458,219.22,0.616,0.912,0.790,0.326,0.597,0.403,19.37,272.28,1,54.01,1,1.334,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:09,55.75726046,37.62030139,219.12,55.75583035,37.61778247,219.03,55.75725468,37.62029175,219.12,55.75726722,37.62030139,219.03,55.75726193,37.62030139,219.03,0.656,0.882,0.759,0.191,0.573,0.427,18.44,257.44,1,54.00,1,1.632,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:10,55.75735502,37.62046821,219.28,55.75583039,37.61778262,219.62,55.75734762,37.62045657,219.28,55.75736265,37.62046821,219.62,55.75735657,37.62046821,219.62,0.692,1.100,0.915,0.382,0.614,0.386,17.47,242.61,1,54.00,1,3.342,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:11,55.75744957,37.62063503,219.41,55.75583043,37.61778278,219.76,55.75744303,37.62062319,219.40,55.75745724,37.62063503,219.76,55.75745120,37.62063503,219.76,0.726,1.039,0.922,0.390,0.589,0.411,16.48,227.78,1,54.00,1,2.122,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:12,55.75754411,37.62080187,219.52,55.75583050,37.61778303,219.66,55.75753722,37.62078946,219.51,55.75755208,37.62080187,219.66,55.75754579,37.62080187,219.66,0.746,1.092,0.898,0.234,0.594,0.406,15.47,212.95,1,54.00,1,3.579,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:13,55.75763865,37.62096873,219.60,55.75583059,37.61778330,219.93,55.75763059,37.62095524,219.60,55.75764724,37.62096873,219.93,55.75764040,37.62096873,219.93,0.782,1.232,1.010,0.379,0.612,0.388,14.44,198.11,1,54.00,1,2.165,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
2025-01-14 08:07:14,55.75773318,37.62113559,219.67,55.75583071,37.61778355,220.00,55.75772555,37.62112214,219.67,55.75774187,37.62113559,220.00,55.75773500,37.62113559,220.00,0.813,1.197,1.022,0.384,0.596,0.404,13.39,183.28,1,54.00,1,1.193,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
